순번,수거장소구분명,수거장소명,지번주소,도로명주소,행정동코드,행정동명,법정동코드,법정동명,개설자명,전화번호,비고,위도,경도,데이터기준일자
200,약국,인화약국,대전광역시 서구 도마동 121-6,대전광역시 서구 도솔로 68,3017053000,도마2동,3017010300,도마동,차**,,,36.31664872,127.373601,2025-01-17
201,약국,일등프라자약국,대전광역시 서구 탄방동 1026,대전광역시 서구 문정로 134,3017055500,탄방동,3017010600,탄방동,박**,,,36.34647133,127.3942408,2025-01-17
202,약국,일영약국,대전광역시 서구 둔산동 915,대전광역시 서구 청사로 228,3017064000,둔산2동,3017011200,둔산동,박**,,,36.3594322,127.3891005,2025-01-17
203,약국,자연약국,대전광역시 서구 둔산동 913,대전광역시 서구 청사로 234,3017064000,둔산2동,3017011200,둔산동,박**,,,36.35942889,127.3896742,2025-01-17
204,약국,정림종로약국,대전광역시 서구 정림동 502,대전광역시 서구 계백로 1272,3017053500,정림동,3017010400,정림동,박**,,,36.30726301,127.3643468,2025-01-17
205,약국,정림푸른약국,대전광역시 서구 정림동 646,대전광역시 서구 정림로 18,3017053500,정림동,3017010400,정림동,전**,,,36.30215004,127.3665359,2025-01-17
206,약국,정산한약국,대전광역시 서구 도마동 130-5,대전광역시 서구 도마4길 51,3017052000,도마1동,3017010300,도마동,임**,,,36.31546299,127.3800504,2025-01-17
207,약국,정성약국,대전광역시 서구 괴정동 91-7,대전광역시 서구 갈마로 251,3017056000,괴정동,3017010800,괴정동,김**,,,36.33377594,127.3819995,2025-01-17
208,약국,정약국,대전광역시 서구 도마동 107-12,대전광역시 서구 도솔로 96,3017053000,도마2동,3017010300,도마동,조**,,,36.319093,127.3737448,2025-01-17
209,약국,조아약국,대전광역시 서구 둔산동 1821,대전광역시 서구 둔산로 214-1,3017066000,둔산3동,3017011200,둔산동,김**,,,36.35104205,127.397682,2025-01-17
210,약국,종로약국,대전광역시 서구 둔산동 1814,대전광역시 서구 둔산로 206,3017066000,둔산3동,3017011200,둔산동,임**,,,36.35105816,127.3967638,2025-01-17
211,약국,좋은약국,대전광역시 서구 괴정동 91-22,대전광역시 서구 갈마로 255,3017056000,괴정동,3017010800,괴정동,여**,,,36.3334714,127.3822342,2025-01-17
212,약국,준약국,대전광역시 서구 복수동 615,대전광역시 서구 복수동로 39-26,3017051000,복수동,3017010100,복수동,박**,,,36.30015318,127.3797939,2025-01-17
213,약국,즐거운약국,대전광역시 서구 탄방동 792,대전광역시 서구 문정로 96,3017055500,탄방동,3017010600,탄방동,박**,,,36.34643005,127.3899038,2025-01-17
214,약국,지씨지센타약국,대전광역시 서구 월평동 1168,대전광역시 서구 월평서로 7,3017058600,월평1동,3017011300,월평동,최**,,,36.35420418,127.3579811,2025-01-17
215,약국,지영약국,대전광역시 서구 월평동 218,대전광역시 서구 월평북로 11,3017058700,월평2동,3017011300,월평동,민**,,,36.36382471,127.3690148,2025-01-17
216,약국,진달래약국,대전광역시 서구 월평동 312-1,대전광역시 서구 월평동로 45,3017058800,월평3동,3017011300,월평동,김**,,,36.35908065,127.3668216,2025-01-17
217,약국,참건강약국,대전광역시 서구 탄방동 89-5,대전광역시 서구 도산로393번길 62,3017055500,탄방동,3017010600,탄방동,최*,,,36.34098657,127.3916193,2025-01-17
